campaign_id,audience,impressions,ad_type,date,spend,actions
0003b98a-a5e6-43cd-bf12-cabc54e662ac,AL_white_54-59,18225,photo,2017-06-22,301,"[{""E"": 4, ""action"": ""views""}, {""A"": 58, ""action"": ""views""}, {""E"": 45, ""action"": ""junk""}]"
0012248f-3248-4702-9eeb-dd044feb12e9,WV_pink_24-29,5531,photo,2017-06-19,298,"[{""G"": 9, ""action"": ""clicks""}]"
0018d9df-195d-44f4-b7b8-f177597fe277,IN_purple_36-41,10687,video,2017-06-22,813,"[{""B"": 8, ""action"": ""noise""}, {""H"": 1, ""action"": ""clicks""}, {""A"": 12, ""action"": ""views""}]"
002967f4-7264-4cdc-b365-36908daec74e,NM_brown_42-47,4780,video,2017-06-15,545,"[{""G"": 91, ""action"": ""junk""}, {""J"": 29, ""action"": ""noise""}, {""H"": 40, ""action"": ""noise""}, {""C"": 10, ""action"": ""conversions""}, {""B"": 69, ""action"": ""noise""}]"
003b5432-b2de-4352-b596-0a8076a314b0,IA_black_24-29,6252,video,2017-06-18,396,"[{""B"": 15, ""action"": ""junk""}, {""A"": 97, ""action"": ""conversions""}, {""H"": 92, ""action"": ""views""}]"
003e4fe9-8abd-40d9-a27b-1cebfd6fd052,OK_red_57-62,4642,photo,2017-06-21,306,"[{""C"": 44, ""action"": ""conversions""}, {""E"": 11, ""action"": ""noise""}, {""J"": 34, ""action"": ""noise""}]"
003e4fe9-8abd-40d9-a27b-1cebfd6fd052,OK_red_57-62,4642,video,2017-06-15,608,"[{""E"": 24, ""action"": ""clicks""}, {""E"": 67, ""action"": ""noise""}, {""B"": 47, ""action"": ""junk""}]"
003ecc02-cea4-4ecc-8202-bd7318542ab9,SC_blue_18-23,3687,photo,2017-06-17,458,"[{""H"": 16, ""action"": ""conversions""}, {""B"": 88, ""action"": ""views""}, {""D"": 5, ""action"": ""clicks""}, {""G"": 42, ""action"": ""clicks""}, {""E"": 15, ""action"": ""clicks""}]"
00741fb8-2505-422b-af3d-45b857500bcd,OK_blue_57-62,9847,video,2017-06-16,364,"[{""G"": 67, ""action"": ""clicks""}]"
00767460-da69-4c05-a148-d37f162d802b,TX_pink_63-68,7775,video,2017-06-17,240,"[{""K"": 95, ""action"": ""clicks""}]"
00767460-da69-4c05-a148-d37f162d802b,TX_pink_63-68,7775,video,2017-06-21,569,"[{""F"": 15, ""action"": ""noise""}, {""D"": 85, ""action"": ""views""}, {""E"": 70, ""action"": ""clicks""}, {""B"": 4, ""action"": ""views""}]"
